typ,    seq#,  sec. ms,   mV,ev,^,pre, addr,i,dcc                       ,TCS,TS1,TS2,TCE,J1,J2,p,P,ch1   ,ch2                    
PKT,  142488, 1606.723,13000,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,  142489, 1606.729,13000,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,  142490, 1606.735,13000,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,  142491, 1606.741,13000,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,  142492, 1606.747,13000,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,                       
PKT,  142493, 1606.753,13000,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,  142494, 1606.759,13100,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,  142495, 1606.765,13000,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,  142496, 1606.771,13000,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,  142497, 1606.777,13000,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,                       
PKT,  142498, 1606.783,13000,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,  142499, 1606.789,13000,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,  142500, 1606.795,13000,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,  142501, 1606.801,13100,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,  142502, 1606.807,13000,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,                       
PKT,  142503, 1606.814,13000,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,                       
