typ,    seq#,  sec. ms,   mV,ev,^,pre, addr,i,dcc                       ,TCS,TS1,TS2,TCE,J1,J2,p,P,ch1   ,ch2
PKT,   37352, 5389.235,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37353, 5389.241,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37354, 5389.247,13600,00,f, 12, 1006,S,c3ee3f8193                , 31,   ,196,454,  , 1, ,+,      ,5aac995aaa95
PKT,   37355, 5389.256,13400,00,f, 12, 1008,S,c3f03f818d                , 30,   ,197,454,  , 1, ,-,      ,5aac995aa995
PKT,   37356, 5389.265,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37357, 5389.271,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37358, 5389.277,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37359, 5389.283,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37360, 5389.289,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37361, 5389.296,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37362, 5389.302,13600,00,f, 12,  253,#,fdf09d8d0300c5db          , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37363, 5389.315,13600,00,f, 12, 1010,S,c3f23f818f                , 31,   ,189,454,  , 8, ,+,      ,0f0f
PKT,   37364, 5389.324,13400,00,f, 12, 1012,S,c3f43f8189                , 30,   ,187,454,  , 2, ,+,      ,0f0f
PKT,   37365, 5389.334,13600,00,f, 12, 1004,f,c3ec80af                  , 31,   ,197,454,  ,10, ,-,      ,595a935a7496
PKT,   37366, 5389.342,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37367, 5389.348,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
